cancel_order,change_order,change_shipping_address,check_cancellation_fee,check_invoices,check_payment_methods,check_refund_policy,complaint,contact_customer_service,contact_human_agent,create_account,delete_account,delivery_options,delivery_period,edit_account,get_invoice,get_refund,newsletter_subscription,payment_issue,place_order,recover_password,registration_problems,review,set_up_shipping_address,switch_account,track_order,track_refund
"I want to cancel a purchase, what can I do?",I bought an item and I want to change my purchase,where do I modify my shipping address?,"I want to view cancellation fees , what can I do?","i didn't reecive my invoices, what can i do to check them?",where to see your payment methods,could u ask ohw to check their fucking money back guarantee?,"I'm discontent with the service, lodge a consumer complaint",I need help sending an email to Customer Support,I can't understand you,"I haven't got an account, can you create one?","I changed my mind, can I delete my user account?", to give me information about the delivery options,can you tell me about the delivery period for my tickets?,how do i edit the information on my profile?,I want to obtain a bill,i want to obtain a refund,can you tell me where to subscribe to the newsletter?,can I solve problems making a payment?,"I want to make a purchase, what do I have to do?","my user account was hacked, i need help getting it back",I found a problem while registering,"i wanna submit a review, what can i do?","I don't have a shipping address, can you set one up?",how can I change to another online account?, if i can check my shipments?,"please, could u  how to ese the fucking status of my refund?"
"i want to cancel an order, what do i have to do?","I ordered an item, how do i change my order?",can I update my shipping address?,"I want to check the cancellation fee, can you help me?","i can't find my bill, what do i have to do to see it?",how can i check your payment methods?,how can I see your reimbursement policy?,"I don't like the service, can I make a consumer complaint?",tell me what the free number to contact Client Service is,"youre not helping, what should i do to speak with someone?","I have no online account, what do I have to do to register?","I don't want my online account, what can I do to cancel it?",I want to check the ticket delivery options,tell me when my ticket is going to arrive, if i can change the information on my profile?,"I wanna see a bill, can you give me some information?","I want a reimbursement, how can I obtain one?", if I can receive the newsletter?,"i got an error message whe i tried to make a payment, but i was charged anyway, can u report it?",can i make an order?,I can' remember my fucking password and I would like to reset it,I had a problem whlie creating a profile, to leave a conment,"I have no shipping address, can Iset it up?","please,  how I can switch to another fucking online account?",I want information about the status of my order,"i want to know the status of my refund and i want to track it, please"
"I want to cancel an order, what can I do?",I want to know where I can modify my order,where to edit my shipping address,how do I view the cancellation fees?,can you provide information about my bill?,where can I check your payment options?,"I want to see your money back guarantee, what do I have to do?",i dont like the service and i wanna submit a consumer complaint,can you tell me the mail of Customer Support?,"I don't understand you, how do I speak with someone?",I have no user account and I want to open one,"could u  where to cancel my account, please?",can I check the delivery options?,information about the delivery period,could u  how to update the information on my profile?,I wanna get information about requesting a bill,"the game was cancelled, how do i get a refund?",I want to know if you have a newsletter to stay up-to-date,"i have an issue when trying to make a payment, what do i have to do to notify it?",can I make a purchase?,"someone stole my password, can u reset it?",I had an issue when trying to sign up,how to leave a comment for a service,i dont have a shipping address and i want to set one up,where can I switch to another online account?,"I want to see the status of my purcase, can you help me?","i wanna see the status of my reimbursement, what can  i do, please?"
how can I cancel an order?,can you tell me if I can change my order?,"please,  if I could make changes to my fucking shipping address?","I want to see cancellation fees, can you help me?","I didn't receive my invoices, can you show them?",I want to see your payment options,I need help viewing your money back policy,"I'm discontent with the service and I would like to file a consumer complaint, please",I have a question and I want to speak with Client Service,"youre not helping, what should i do to contact a human?","I don't have a user account, what can I do to create one?","please,  if I could remove my account?",information about the options for ticket delivery,i wanna know how fast i can expect my tickets to arrive,how can I modify my profile?," if i can see some fucking bills, please","the show was postponed, how can i request a refund?",I want to know how I can subscribe to the newsletter,"I want to inform of a problem paying, what can I do?",I need help placing an order,"my online account was hacked, and I need help getting it back",I'm having an issue creating a profile,how to write an opinion for a service,"i have no fucking shipping address, what should i do to set one up?",help me change to another account,tell me where I can track my orders,I need help checking the status off my reimbursement
can i cancel an order?,"I wanna know where to modify my purchase, please",how to edit my shipping address," if i can see the cancellation fees, please?","i want to check my invopice, what can i do?","I want to check your payment methods, what should I do?",how can I check your refund policy?,"I'm not happy with the service, what can I do to submit a consumer complaint?",i havd a question and i wanna speak with customert support,"i cant understand you, can i speak with someone, please?","i dont have an online account, i need help creating one",where can I remove my account?,"I want to view the delivery options, what can I do?",i want to see the delivery period,I want to modify the information on my profile,i wanna see a bil,"the game was cancelled, what do I have to do to request a refund?",is it possible to subscribe to the newsletter?,"i got an error when i attempted to pay, but my card was charged anyway, how can i notify it?",where to place an order," how i can recover my account password, please",I had problems when trying to create an account, how i can leave an opinion?,"I have no shipping address , I need helpsetting one up",I need help switching to another user account,can u ask  if my fucking orders are on their way?,"i wanna know the status of my refund, what should i do?"
how to cancel a purchase,"I purchased something, what can I do to change my order?",can i change my shipping address?,"i wanna view cancellation fees, what can i do?","please, can you  where I can see my invoices?",tell me if  I can ppay with Amex,I want to check your refund policy,"I want to lodge an complaint, can you help me?",I want to call Client Service,i cant understand you and i want to talk to a uhman,"i want a user account, how can i create one?",i changed my mind and i want to cancel my online account,"I want to check the options for delivery, what do I have to do?",i want to know how soon i can expect my tickets to arrive,i wanna make changes to the information on my profile,what information can you terll me about obtaining  a bill?,"the fucking show was cancelled and i wanna get a refund, please","Iwant to receive the newsletter, can you give me some information?","please, can you  where I could notify problems making a payment?",how to place an order,"someone stole my password, what should I do to retrieve it?",I have problems opening an account,"i wana lodge a fucking opinion, whta should i do?",I have no shipping address and I want to set one up, if i could change to another profile, where i can track my order,was my reimbursement processed ?
"I want to cancel a purchase, what should I do?","I bought something, what should I do to change my order?","I want to modify my shipping address, what should I do?", about the cancellation fee?, to provide information about my invoice,can you give me information about your payment options?,i need help viewing your refund  policy,"im discontent with the service, what should i do to file a complaint?","I need information, how can I send an email to Customer Support?","I don't understand you, can you contact fucking someone?",i want to know if i can register more than one profile with the same email address,could I remove my fucking profile?,can you show me the delivery options?,"please,  to give me information about the delivery period",i wanna change the information on my profile,"i want to download a bill, can you tell me where to do it?",where can i receive a refund?,i want to know if there is a newsletter i can subscribe to,"an error pops when I try to pay, can you help me?","I want to make a pucrhase, what can I do?","I can't remember my account password, how do I recover it?",I found problems signing up,"I want to file a review, what do I have to do?","i have no shipping address, how can i set it up?","I want to use my other account, can I change them?"," how I could know where my fucking packages are, please?",I want to know if my refund was processed
how do I cancle a purchase?,"i made a miustake, how can i modify my purchasse?",can you  if I could modify my shipping address?,where do I view the cancellation penalties?,i can't find my bill and i want to see it,"id like to see your payment methods,what can i do?",I'm interested in your money back guarantee,I need help filing a complaint,i want to know what the mail address to contact customer service is," to speak with a human agent, please","I have no user account, what can I do?",help me close my profile,"i wanna see the options for ticket delivery, what can i do?", what the delivery period for my ticket is,can i update the information on my profile?,I want to get information about obtaining an invoice,"the show was cancelled, how do I get a refund?",tell me if there's a newsletter i can receive,help me solve issues with my payment,where do I make an order?,"I lost my password, what should I do to recover it?",I'm having an issue with the registration,"i want to lodge an opinion for a service, what should i do?","I have no shipping address, I need help setting it up","I want to use my other account, I need help changing them","please, could you tell me where I can check my delivery?", where I could check the status of my refund
"I want to cancel an order, what do I have to do?","I ordered a product, what should I do to modify my order?", how tomake changes to my shipping addrrss?,how to check the cancellation fee,where canm I  view my invoices?,"I want to know if I could make a payment with card, please", how to see their money back guarantee,"I'm not happy with the service, how can I submit a consumer complaint?",what's the number of Customer Service?,"i dont understand you, how do i contact a human?","I want to create a profile, what can I do?","I changed my mind, what should I do to close my account?","I want to check the options for ticket delivery, what do I have to do?",tell me how soon I can expect my tickets to arrive,help me change the information on my profile,tell me if I can get a fucking bill,the event was postponed and I want to obtain a refund,can you  if there's a newsletter i can receive?,I want to report a problem paying,"id like to place an order, what can i do?",how to reset my account password,registration issue,"im happy with the service, what can i do to make a review?",how can I set up my shipping addess?,"I want to use my other profile, how can I change them?",tell me how to check my delivery,"i want to know the statua of my reimbursement, track ot"
help me cancel a purchase,"I bought something, what should I do to modify my order?",where can I make changes to my shipping address?,how could i view the cancellation fees?,"i losg my invoices, what  should i do to view them?",where do I view your payment options?,"please, can you  to check their reimbursement policy?","I'm not happy with the service, what can I do to make a consumer complaint?","I would like information, I need help calling Customer Service, please","you're not helping, speak with someone","I don't have a user account, can you create one?","I changed my mind, what should I do to cancel my profile?",how do I check the options for ticket delivery?,information about the delivery period formy tickets," how I can edit my fucking profile, please","I wanna download some bills, can you show me some information?", if i can otain a reimbursement?,"I want to receive the newsletter, can you tell me where to do it?",help me report payment issues, where i can place an order,"I want to recover my account password, can you help me?",I found an issue while creating an account,I need help leaving a review,where can i set up my shipping address?,"i want to use my other account, help me switch them",could u  how to view the status of my purchase?,"i wanna know the status of my reimbursement, help me track it"
 to cancel an order?,I purchased an item and I want to change my order,"I want to update my shipping address, what do I have to do?",can you show me the cancellation fee?,"I lost my invoice, help me see it",can I make a payment with credit card?,"I don't know anything about your reimbursement policy , tell me about it","please,  if i can file a complaint",can you tell me the free phone number to contact Customer Support?,u are not helping and i want to speak with a human,"I've got no online account, what can I do to register?","I changed my mind, what can I do to cancel my profile?",how do i see the options for ticket delivery?,I want to know how long it takes for tickets to arrive,how can i make changes to the information on my profile?,tell me how toi see a bill,"i wannaq obtai a reimbursement, can u help me?",can you tell me where to receive the newsletter?,"I have an issue paying, what do I have to do?","I want to place an order, what should I do?","my profile's been hacked, what should i do to get it back?",I found issues when trying to sign up,"i want to make a comment, what can i do?","I want to set up my shipping address, what should I do?",where do I switch to another profile?,how can I know wherr my hsipments are?,"I would like to track my refund, what should I do ?"
can I cancel a purchase?,"please, can you  how to change my purchase?",can I modify my shipping address?,"I want to view cancellation fees, can you help me?","I can't find my invoices, can you check them?",can you find information about your payment options?,I don't know anything about your money back policy,"I don't like the service, I need help making a consumer complaint","I have a question, how do I send an email to Customer Service?","u are not helping, talk to someone", how to open an online account, where i can delete my online account, where i can see the delivery options, whats the delivery period for my ticket?, need ehlp modifying my profile, how I can request a bill,what can i get a refund for?,can you tell me if there's a newsletter to stay up-to-date?,"can you  how to notify problems paying, please?","I want tp make a purchase, can you help me?","my online account was hacked, can you help me?",I had a problem while creating an account,sak  how to leave a review,how to set up my shipping address,"I want to use my other account, how can I switch them?","I want to check my packages, can you tell me how I can do it?",helpme view the status of my refund
"I want to cancel an order, what should I do?","I purchased soemthing, can i chbange my purchase?","my shipping address has changed, what do I have to do?","I want to check cancellation fees , what do I have to do?","I lost my invoice, can I view it?",i need help viewing your payment methods,how do I see your reimbursement policy?,"I'm not happy with the service, how do I file a consumer complaint?",whats the mail to contact Customer Support?,"u are not helping, help me contact someone",I want to know if I can create more than one user account with the same email,"I changed my mind, how can I close my user account?", how i cxan check the delivery options ?,how soon can I expect my ticket?,I need help changing my profile,tell me how to obtain a bill,"the concert was cancelled, how do I request a reimbursement?","I'd like to receive the newsletter, could you tell me how to do it?","I want to solve an issue making a payment, what should I do?", where i could make a fucking order?,"I lost my password, how do I reset it?",I'm having issuea when trying to sign up,"I am happy with the service, make a comment, please", if i can set up my shipping address?,"I'd like to use my other fucking account, switch thme",I want to know where I can track my shipments,"i want to know the status of my reimbursement, how do i track it?"
"i want to cancel a purchase, what can i do?","I purchased an item, what can i do to modify my order?",can I edit my shipping address?,where do Icheck hte cancellation penalty?,I need inforation about my bill,can you tell me if I can pay with Master Card?, how i can view their reimbursement policy,i need help filing a complaint,"I need information, what should I do to talk to Customer Service?","you're not helping, could I contact a human agent, please?","I've got no user account, what should I do?","i need help removing my fucking user account, please", how to see the delivery options,can you tell me about the delivery period?, to modify ther information on my profile?,"I want to get a bill, can you tell me how to do it?","please,  lAexa how I can receive a refund?",I wantto know avout subscribing to the newsletter,ca you  to solve a fucking payment problem ?, where i can make an order?,"I want to reset my password, how can I do it?",I had a problem while registering,how can I write a comment for a service?,"I have no shipping address, how can I set it up?","I want to use my other online account, what can I do to change them?",tell me how I can know where my order is,"I want to know the status of my reimbursement, what do I have to do?"
"i want to cancel a purchase, can u help me?","I bought an item, help me change my purchase, please",how  to update my shipping address,can I see the cancellation penalties?,"i wanna check my invoices , what can i do?","i wanna view your payment methods, what should i do ?","please,  where I can view thir fucking refund policy?","i wanna file a complaint, what can i do?",can you tell me the mail to contact Customer Support?,"you're not helping, can I talk to someone?","I've got no online account, I need help opening one",i changed my mind and i want to cancel my account,where can I view the options ofr ticket delivery?,show me the delivery period,"I want to make changes to the information on my profile, how can I do it?",I need help obtaining some invoices,"the event was cancelled, how can I get a refund?",tell me where to subscribe to the newsletter,"I have a problem when trying to pay for my order, report it",where can i place an order?,my user account's been hacked,I'm trying to regiter but I can't,"I'm happy with the service, I need help filing a cdomment","I have no shipping address, whjat do I haave to do to set it up?",where to switch to another online account,can you tell me if I can check my deliveries?,how can i check the status of my reimbursement?
" to cancel a fucking purchase, please?","I purchased an item, what do I have to do to modify my purchase?",can I change my shipping address?,"i wanna check cancellation fees, can u help me?","i can't find my bill , i need help viewing it",how can i see your payment methods?,can you showme your money back policy?,how do I lodge a complaint ?,I need information about the mail address of the Customer Support,"you aren't helping, how can I talk to a person?","I haven't got a fucking user account, help me create one","I don't want my online account, how do I cancel it?",I need information about the ticket delivery options, to show me information about the delivery period," how to change the information on my fucking profile, please?", if i can download some bills?,the event was cancelled and i wanna obtain a reimbusement,do you have an newsletter to stay up-to-date?,"I get an error when I attempt to make a payment for my online order, can you help me?",how to make an order,"I can't remember my password, help me recover it",I'm having an issaue opening an account,"I'm happy with the service, what can I do to file a comment?","i have no shipping address, help me set one up","I want to use my other profile, I need help switching them","please, can you  if I can track my shipment?",wherw can I see the status of my refund?
I waznt to cancel  purchase,is it possible to modify my order?, where I could update my shipping address?, for information about the cancellation penalties,show me my invouce,"I want to view your payment options, what  should I do ?",where to see your refund policy,"I don't like the service, how can I lodge a consumer complaint?",can you tell me the number of Customer Service?,"I don't understand you, what should I do to contact someone?","ive got no user account, how can i create one ?","I want to cancel my online account, where can I do it?",can I see the options for ticket delivery?,can you tell me how fast i can expect my tickets to arrive?,help me edit the information on my profile,"could youobtain a fucking bill, please?","I want a reimbursement, what do I have to do to request one?",can I receive the newsletter?,"I got an error when I attempted to make an payment, but I was charged anyway, can you inform of it?","i wanna place an order, what can i do?","my profile's been hacked, what should I do?",I have a problem registering,"I'm happy with the service, how can I make an opinion?","i have no shipping address, i need help  setting it up","i wanna use my other online account, switch them","I want to track my shipments, can you tell me where to do it?","can you  how I can check the status of my refund, please?"
 to cancel a order,"I purchased something, help me change my order","please,  to update my shipping address","I want to view the cancellation fee, what do I have to do?",can u show me information about my invoice?,I need help seeing your payment methods,can you show me information about your refund policy?,"I don't like the service, what should I do to make a consumer complaint?","I need information, help me call Customer Service",i want to contact a human agent,"I haven't got an online account, what should I do to create one?",can i remove my user account?,i need help seeing the delivery options,I want to know when my tickets will arrive,can I change the information on my profile?,I want to know how I can obtain a bill,"I want a refund, what do I have to do to obtain one?",I want to receive the newsletter,"i wanna inform of a payment problem, can u help me?",how do I make a purchase?,"i wanna retrieve my account password, what do i  have to do?",I have an issue with the registration,"im happy with the service, help me lodge a review","I don't have a shipping address, how can I set one up?","i want to use my other profile, how can i switch them?",i wanna know how go know where my package is, if my reimbursement has been processed?
I need hjelp cancelling a purchase,"id like to ask for information about changing my purchase, please", where to make changers to my fucking shipping address?, how to check the cancellation penalty?,"please, can u show me my invoices?",I want to know if I can pay with Amex,"I want to see your reimbursement policy, what dl I have to do?",where to file a complaint,"I want information, can you contact Client Service?", if there is someone available,"I've got no profile, how do I create one?","I don't want my account, can you delete it?",help me check the options for ticket delivery,I want to see the delivery period for my ticket,how can I update my profile?,"I want to download a bill, tell me how I can do it","the event was cancelled, can I obtain a refund?",I want to know if there's a newsletter to stay up-to-date,"I got no payment confirmation, what do I have to do?","please,  if i could make a purchase","i cant remember my account password, i need hjelp retrieving it",I had an issue when trying to create a profile,"i want to submit a fucking comment for a service, what should i do?","I don't have a shipping address, I need help setting it up",where to change to another profile,could u  if I could track my packages?, how i can check the status of my reimbursement
I want to cancel an order,"I bought something, what should I do to modify my purchase?","I want to modify my shipping address, what can I do?",where do I check the cancellation fee?,how can I check my bill?,I want to know what payment options you accept,"I want to see your reimbursement policy, what should I do?","I don't like the service, could you file a consumer complaint, please?","I want information, what can I do to talk to Customer Service?","please,  how i can talk to a human",I want to know if I can register several profiles with a single email address,"I changed my mind, I need help removing my profile","I want to view the options for delivery, what should I do?",I want to know how fast I can expect my tickets to arrive,can i edit the information on my profile?,how do I see some invoices?,"I want a reimbursement, can you help me?",I want to know if you have a newsletter I can receive, where to notify issues making a payment?,"I want to make a order, what should I do?","someone stole my account password, what do I have to do?",I had a problem creating an account,"im happy with the service, how do i make a comment?","i have no shipping address, how can i set one up?","I want to use my other user account, what do I have to do to switch them?",how do I check my packages?,I want to track my refund
how to cancel an order,"I wanna change my order, tell me how I can do it", where to edit my shipping address, where i colud check the cancellation penalty,"I lost my bill, how can I view it?", if i can view their payment options ?,"id like to check your money back pooicy, can u help me?","I'm not happy with the service, how can I lodge a complaint?","I want information, what can I do to contact Customer Support?", if i can contact a human,"I haven't got an account, how do I register?",how to close my account,how to check the options for delivery,I want to know how fast I can expect my ticket to arrive,how could I update my fucking profile?,what can you tell me about downloading some invoices?,the event was cancelled and i want to get a refund,"i want to subscribe to the newsletter, can you tell me where to do it?","I got an error message when I tried to pay, but my card was charged anyway, what can I do to report it?",how can I place an order?,"someone stole my password, what should I do?",I found an issue while signing up,"i am happy with the service, could i lodge an opinion?","I don't have a shipping address, what should I do to set it up?",how can I switch to another profile?,track my shipments,I want to track my reimbursement
I need help cancelling an order,"I purchased an item, what should I do to change my order?","I want to update my shipping address, can you help me?","I want to see the cancellation fee, what should I do?",how to check my bill, how to see their payment methods?, about their money back guarantee,"im not happy with the service, what should i do to file a consumer complaint ?","can you tell me the email to contact customer support, please?",how to speak with a human agent,can you tell me if I can create several accounts with the same email address?,"i wanna close my user account, where can i do it?",ask about the options for ticket delivery,can you tell me when my ticket will arrive?,I want to change my profile,i want to know if i can request a bill,"the event was cancelled , help me request a reimbursement",i want to know if theres a newsletter to stay informed,"i have a problem when trying to pay for my online order, can i inform of it?",help me place an order,"I lost my password, I need hlp recovering it",I'm having issues when trying to create a profile,"I'm happy with the service, how do I make a comment?",how do I set up my shipping address?,where do i change to another online account?,"please, could u  where i could track my fucking purchase?",how to see the status of my refund
"I want to cancel an order, can you help me?","I want to change my order, tell me how I can do it",I need help updating my shipping address,help me see the cancellation penalties,"I lost my invoice, I need help checking it",can you tell me if I can pay with card?, where I can see their fucking money back policy,"I'm discontent  with the service, submit a complaint",i wanna know what the hours of customer setvice are,how could i speak with a human agent?,"I want a user account, I need help opening one",I need help closing my profile, to show me information about the options for ticket delivery?,how soon can I expect my tickets to arrive?," how I can modify my profile, please?",tell me about getting an invoice,can i request an reimbursement?,I want to ask for information about receiving the newsletter,"I have a problem paying with card, help me report it",how can I make a purchase?,"someone stole my account password, can I reset it?",I had issues creating a profile,how do I leave a  comment?,"I have no shipping address, can you set one up?","I want to use my other user account, what do I have to do to change them?","please,  how I could know where my order is"," if i could see the status of my refund, please?"
